timestamp,open,high,low,close,volume
2025-02-11,97451.66000000,98500.00000000,94831.07000000,95774.08000000,7737.05105717
2025-02-10,96481.47000000,98367.23000000,95257.20000000,97444.41000000,6375.72539123
2025-02-09,96476.24000000,97342.28000000,94730.67000000,96475.82000000,3417.87009701
2025-02-08,96536.93000000,96919.05000000,95682.33000000,96476.25000000,2972.45715184
2025-02-07,96575.24000000,100235.79000000,95614.96000000,96537.08000000,12171.82534167
2025-02-06,96635.62000000,99182.15000000,95674.96000000,96564.62000000,9168.94674634
2025-02-05,97795.06000000,99230.49000000,96161.01000000,96638.33000000,9308.59185883
2025-02-04,101460.15000000,101812.23000000,96145.76000000,97795.05000000,14168.70316610
2025-02-03,97676.53000000,102599.85000000,91178.01000000,101460.20000000,31328.72219576
2025-02-02,100623.88000000,101459.84000000,96179.00000000,97676.52000000,10366.65062753
2025-02-01,102414.05000000,102781.65000000,100250.00000000,100623.85000000,3390.25555744
2025-01-31,104742.63000000,106090.00000000,101506.00000000,102411.26000000,13313.68104489
2025-01-30,103747.25000000,106484.77000000,103289.74000000,104742.64000000,13061.34881233
2025-01-29,101290.01000000,104829.64000000,101275.60000000,103747.25000000,11403.20278905
2025-01-28,102063.92000000,103770.85000000,100213.80000000,101290.00000000,9488.53429464
2025-01-27,102565.28000000,103228.46000000,97715.03000000,102062.42000000,23647.14111877
2025-01-26,104729.92000000,105478.80000000,102452.24000000,102563.00000000,4575.36611531
2025-01-25,104866.13000000,105294.00000000,104104.00000000,104733.56000000,3404.85308291
2025-01-24,103926.36000000,107200.00000000,102751.92000000,104850.27000000,12921.99361413
2025-01-23,103659.60000000,106870.87000000,101200.01000000,103926.36000000,25064.86499945
2025-01-22,106159.27000000,106431.34000000,103100.00000000,103667.11000000,10730.01896200
2025-01-21,102145.42000000,107291.10000000,100051.00000000,106159.26000000,19411.23488978
2025-01-20,101217.78000000,109358.01000000,99416.27000000,102145.43000000,32342.18311338
2025-01-19,104435.01000000,106314.44000000,99518.00000000,101211.13000000,13312.63685598
2025-01-18,104107.00000000,104933.15000000,102233.45000000,104435.00000000,7835.29991824
2025-01-17,99981.46000000,105970.00000000,99937.81000000,104107.00000000,20518.30949325
2025-01-16,100504.27000000,100880.00000000,97277.58000000,99981.78000000,12312.37366854
2025-01-15,96534.97000000,100716.45000000,96400.00000000,100510.23000000,13610.74729401
2025-01-14,94507.35000000,97353.29000000,94311.36000000,96534.96000000,11210.74226727
2025-01-13,94507.24000000,95900.00000000,89028.64000000,94506.45000000,13094.86359481
2025-01-12,94569.91000000,95383.84000000,93670.30000000,94509.62000000,2025.81612971
2025-01-11,94701.48000000,94983.65000000,93804.05000000,94565.02000000,2638.69956767
2025-01-10,92547.44000000,95862.92000000,92209.25000000,94701.18000000,12634.03407823
2025-01-09,95033.18000000,95363.26000000,91187.00000000,92547.44000000,9712.37853215
2025-01-08,96941.98000000,97254.35000000,92500.00000000,95036.63000000,14182.29739458
2025-01-07,102279.41000000,102735.99000000,96105.11000000,96941.98000000,16587.28692230
2025-01-06,98347.65000000,102500.00000000,97900.00000000,102279.41000000,15173.55606778
2025-01-05,98209.85000000,98814.00000000,97250.00000000,98345.33000000,2377.92175899
2025-01-04,98139.85000000,98761.02000000,97516.65000000,98209.85000000,2742.08960614
2025-01-03,96905.48000000,98969.92000000,96016.63000000,98136.51000000,9021.88538159
2025-01-02,94383.59000000,97776.99000000,94177.00000000,96903.19000000,10912.47383962
2025-01-01,93347.59000000,94960.91000000,92743.63000000,94383.59000000,6871.73848196
2024-12-31,92620.70000000,96148.94000000,91887.13000000,93354.22000000,10348.63256550
2024-12-30,93563.35000000,94910.48000000,91271.19000000,92620.71000000,15271.24432744
2024-12-29,95125.59000000,95170.06000000,92841.48000000,93563.35000000,3417.52751094
2024-12-28,94171.70000000,95534.17000000,94002.72000000,95130.82000000,2722.65913630
2024-12-27,95669.40000000,97340.47000000,93234.31000000,94171.89000000,13169.12897588
2024-12-26,99358.67000000,99887.00000000,95083.93000000,95669.49000000,11403.37268934
2024-12-25,98594.47000000,99484.92000000,97557.48000000,99346.28000000,5254.23705980
2024-12-24,94767.88000000,99444.00000000,93426.25000000,98594.47000000,13355.36314305
2024-12-23,95091.15000000,96430.08000000,92360.91000000,94764.56000000,13476.98947566
2024-12-22,97230.09000000,97387.98000000,94182.98000000,95087.75000000,4933.50127735
2024-12-21,97762.75000000,99596.57000000,96368.00000000,97230.08000000,6451.43271418
2024-12-20,97372.20000000,98132.47000000,92115.66000000,97765.00000000,21766.62386138
2024-12-19,100148.60000000,102796.22000000,95539.67000000,97372.21000000,23522.12863874
2024-12-18,106145.83000000,106528.13000000,99939.82000000,100150.73000000,22294.42835455
2024-12-17,106099.98000000,108388.88000000,105337.97000000,106136.99000000,11994.58863972
2024-12-16,104445.15000000,107857.79000000,103289.21000000,106099.81000000,22575.87902891
2024-12-15,101400.00000000,105100.00000000,101221.34000000,104447.76000000,7796.33358128
2024-12-14,101428.74000000,102650.00000000,100600.00000000,101399.99000000,4181.40180281
2024-12-13,100024.75000000,101959.13000000,99220.81000000,101428.75000000,13327.59954074
2024-12-12,101211.61000000,102595.00000000,99298.39000000,100030.47000000,14796.92456547
2024-12-11,96660.75000000,101984.98000000,95722.79000000,101202.11000000,21190.23753294
2024-12-10,97330.66000000,98338.17000000,94273.38000000,96660.76000000,20620.53877488
2024-12-09,101175.00000000,101290.73000000,94220.80000000,97324.81000000,20103.05073464
2024-12-08,99919.20000000,101435.05000000,98729.66000000,101174.99000000,4230.35225168
2024-12-07,99885.37000000,100583.27000000,99012.73000000,99929.32000000,4774.35087770
2024-12-06,97049.47000000,102104.12000000,96424.20000000,99891.35000000,17801.21293952
2024-12-05,98746.24000000,104000.00000000,92055.86000000,97044.23000000,36399.81824270
2024-12-04,95924.85000000,99263.20000000,94634.85000000,98746.24000000,17528.92050771
2024-12-03,95862.89000000,96310.10000000,93571.30000000,95924.52000000,17898.70462120
2024-12-02,97259.17000000,98200.00000000,94400.63000000,95862.89000000,15554.61486745
2024-12-01,96464.95000000,97895.90000000,95753.42000000,97263.18000000,4039.27591451
